StockCode,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN
00001,CKH HOLDINGS,Equity,Equity Securities (Main Board),500,HKD 1.0000,KYG217651051
00002,CLP HOLDINGS,Equity,Equity Securities (Main Board),500,,HK0002007356
00003,HK & CHINA GAS,Equity,Equity Securities (Main Board),"1,000",,HK0003000038
00004,WHARF HOLDINGS,Equity,Equity Securities (Main Board),"1,000",,HK0004000045
00005,HSBC HOLDINGS,Equity,Equity Securities (Main Board),400,USD 0.5000,GB0005405286
00006,POWER ASSETS,Equity,Equity Securities (Main Board),500,,HK0006000050
00007,WISDOM WEALTH,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG4643R1088
00008,PCCW,Equity,Equity Securities (Main Board),"1,000",,HK0008011667
00009,KEYNE LTD,Equity,Equity Securities (Main Board),"6,000",HKD 0.0100,BMG525871056
00010,HANG LUNG GROUP,Equity,Equity Securities (Main Board),"1,000",,HK0010000088
00011,HANG SENG BANK,Equity,Equity Securities (Main Board),100,,HK0011000095
00012,HENDERSON LAND,Equity,Equity Securities (Main Board),"1,000",,HK0012000102
00013,HUTCHMED,Equity,Equity Securities (Main Board),500,USD 0.1000,KYG4672N1198
00014,HYSAN DEV,Equity,Equity Securities (Main Board),"1,000",,HK0014000126
00016,SHK PPT,Equity,Equity Securities (Main Board),500,,HK0016000132
00017,NEW WORLD DEV,Equity,Equity Securities (Main Board),"1,000",,HK0000608585
00018,ORIENTAL E H,Equity,Equity Securities (Main Board),"2,000",,HK0018000155
00019,SWIRE PACIFIC A,Equity,Equity Securities (Main Board),500,,HK0019000162
00020,SENSETIME-W,Equity,Equity Securities (Main Board),"1,000",USD 0.000000025,KYG8062L1041
00021,GREAT CHI PPT,Equity,Equity Securities (Main Board),"5,000",,HK0000132420
00022,MEXAN,Equity,Equity Securities (Main Board),"40,000",HKD 0.0200,BMG6051D1175
00023,BANK OF E ASIA,Equity,Equity Securities (Main Board),200,,HK0023000190
00025,CHEVALIER INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 1.2500,BMG2097Z1471
00026,CHINA MOTOR BUS,Equity,Equity Securities (Main Board),200,,HK0026000205
00027,GALAXY ENT,Equity,Equity Securities (Main Board),"1,000",,HK0027032686
00028,TIAN AN,Equity,Equity Securities (Main Board),"1,000",,HK0028013271
00029,DYNAMIC HOLD,Equity,Equity Securities (Main Board),"2,000",HKD 1.0000,BMG2889K1678
